"Tabel 5.4.2 Populasi Unggas Menurut Desa di Kecamatan Tanimbar Selatan (ekor), 2012",,,,,,,,,,
,,,,,,,,,,
Desa ,Ayam  Kampung ,Ayam  Petelor ,Ayam Pedaging,Itik,,,,,,
Saumlaki ,285,- ,- ,-,,,,,,
Olilit ,443,- ,- ,-,,,,,,
Sifnana ,201,- ,- ,8,,,,,,
Lauran ,136,- ,- ,-,,,,,,
Kabyarat ,125,- ,- ,-,,,,,,
Ilngei ,149,- ,- ,-,,,,,,
Wowonda ,132,- ,- ,-,,,,,,
Bomaki ,109,- ,- ,-,,,,,,
Lermatang ,683,- ,- ,-,,,,,,
Latdalam ,167,- ,- ,-,,,,,,
Matakus ,94,- ,- ,-,,,,,,
